type,savings,contract_total,contract_description,grant_description,providing_agency,vendor,full_details
contract,"$4,000,000,000","$12,500,000,000",BIM,,Department of Defense,multiple,"multiple
agency: department of defense
$4,000,000,000
savings
$12,500,000,000
total contract
bim"
contract,"$700,000,000","$5,712,635,494",Enterprise IT as a Service (EITaasS),,Department of Defense,caci,"caci
agency: department of defense
$700,000,000
savings
$5,712,635,494
total contract
enterprise it as a service (eitaass)"
contract,"$3,927,000,000","$3,927,000,000",Aircraft Maintenance Enterprise Solution (ACES) is a Multiple Award Contract (MAC) Indefinite Delivery Indefinite Quantity (IDIQ) with six (6) contractors with separate contract numbers and a shared ceiling. This is a descope of a grand total of $3.9B. This ceiling is decreased to align with the foregoing initiatives to improve contract efficiencies across the federal government.,,Department of Air Force,multiple vendors - aircraft maintenance enterprise solution (aces),"multiple vendors - aircraft maintenance enterprise solution (aces)
agency: department of air force
$3,927,000,000
savings
$3,927,000,000
total contract
aircraft maintenance enterprise solution (aces) is a multiple award contract (mac) indefinite delivery indefinite quantity (idiq) with six (6) contractors with separate contract numbers and a shared ceiling. this is a descope of a grand total of $3.9b. this ceiling is decreased to align with the foregoing initiatives to improve contract efficiencies across the federal government."
contract,"$3,750,000,000","$3,750,000,000",DEPARTMENT OF THE AIR FORCE STRATEGIC TRANSFORMATION SUPPORT (DAFSTS II) FOLLOW-ON,,Department of Defense,multiple,"multiple
agency: department of defense
$3,750,000,000
savings
$3,750,000,000
total contract
department of the air force strategic transformation support (dafsts ii) follow-on"
contract,"$1,946,836,297.83","$3,448,342,863","Increasing Community Access to Testing, Treatment and Response (ICATT)",,Department of Health and Human Services,"cvs pharmacy, inc","cvs pharmacy, inc
agency: department of health and human services
$1,946,836,297.83
savings
$3,448,342,863
total contract
increasing community access to testing, treatment and response (icatt)"
contract,"$3,066,368,971","$3,372,581,216.5","Increasing Community Access to Testing, Treatment and Response (ICATT). The ICATT program provides access to no-cost COVID-19 testing in U.S. communities to people that are uninsured and no-cost COVID-19 vaccines to people that are underinsured and uninsured.",,Department of Health and Human Services,walgreen co.,"walgreen co.
agency: department of health and human services
$3,066,368,971
savings
$3,372,581,216.5
total contract
increasing community access to testing, treatment and response (icatt). the icatt program provides access to no-cost covid-19 testing in u.s. communities to people that are uninsured and no-cost covid-19 vaccines to people that are underinsured and uninsured."
contract,"$2,902,177,561.72","$3,329,900,356.98","Office of Refugee Resettlement Influx Care Facility. Influx Care Facility (ICF) for up to 3,000 unaccompanied alien children (UAC). The contract provided facilities and full wraparound child care and case management services.",,Department of the Interior,"family endeavors, inc","family endeavors, inc
agency: department of the interior
$2,902,177,561.72
savings
$3,329,900,356.98
total contract
office of refugee resettlement influx care facility. influx care facility (icf) for up to 3,000 unaccompanied alien children (uac). the contract provided facilities and full wraparound child care and case management services."
contract,,,,,"Department of Homeland Security
Soft-sided facilities and wrap around services in El Paso, TX and San Diego, CA.",deployed resources llc,"deployed resources llc
agency: department of homeland security
soft-sided facilities and wrap around services in el paso, tx and san diego, ca."
contract,"$107,099,849.46","$2,173,374,973.51",CURRENT SOURCES OF INCOME AND EMPLOYMENT VERIFICATION SERVICE,,Department of Health and Human Services,carahsoft technology corp.,"carahsoft technology corp.
agency: department of health and human services
$107,099,849.46
savings
$2,173,374,973.51
total contract
current sources of income and employment verification service"
contract,"$1,900,000,000","$1,900,000,000","ENTERPRISE PROGRAM, PROJECT, INTEGRATION SERVICES (EPPIS)",,Department of Treasury,centennial technologies inc.,"centennial technologies inc.
agency: department of treasury
$1,900,000,000
savings
$1,900,000,000
total contract
enterprise program, project, integration services (eppis)"
contract,"$120,000,000","$1,886,413,639","IT SYSTEM DESIGN AND MODERNIZATION - MAVERICK PROJECT. DESCOPE $120,000,000.00 MEMORANDUM RADICAL TRANSPARENCY ABOUT WASTEFUL",,General Services Administration,"salient crgt, inc.","salient crgt, inc.
agency: general services administration
$120,000,000
savings
$1,886,413,639
total contract
it system design and modernization - maverick project. descope $120,000,000.00 memorandum radical transparency about wasteful"
contract,"$1,764,530,973","$1,826,530,973",GEOGRAPHIC SERVICE PROVIDERS,,Department of Defense,a1fedimpact,"a1fedimpact
agency: department of defense
$1,764,530,973
savings
$1,826,530,973
total contract
geographic service providers"
